"app_name_greenball","date","STEAM_MAX_PLAYER_COUNT","daily_connections","EXITLAG_unique_users"
"Counter-Strike 2","2025-12-03","1494906","85613","12417"
"Dota 2","2025-12-03","783300","34891","4392"
"PUBG","2025-12-03","663809","96199","2416"
"Apex Legends","2025-12-03","179380","76649","2723"
"Battlefield™ 6","2025-12-03","138477","60095","4234"
"Marvel Rivals","2025-12-03","105422","59157","1991"
"Rust","2025-12-03","93330","2476","496"
"Destiny 2","2025-12-03","70066","17428","261"
"Helldivers 2","2025-12-03","69370","2904","205"
"EA SPORTS FC 26","2025-12-03","66438","32961","1185"
"Call Of Duty: MWII | MWIII","2025-12-03","56148","8797","302"
"Baldur's Gate 3","2025-12-03","50165","60","10"
"Rainbow Six Siege","2025-12-03","49647","0","0"
"Dead by Daylight","2025-12-03","44658","60251","2441"
"Don't Starve Together","2025-12-03","44488","98","14"
"Farming Simulator 25","2025-12-03","43446","16","8"
"Team Fortress 2","2025-12-03","39283","419","45"
"PalWorld","2025-12-03","34412","146","27"
"Path of Exile","2025-12-03","33340","108320","2020"
"R.E.P.O.","2025-12-03","32823","878","159"
"Overwatch 2","2025-12-03","31812","44839","2514"
"Street Fighter VI","2025-12-03","31600","3544","136"
"Limbus Company","2025-12-03","30260","25","12"
"Europa Universalis V","2025-12-03","29702","0","0"
"Warhammer 40,000: Darktide","2025-12-03","28805","10067","193"
"Risk of Rain 2","2025-12-03","27594","186","61"
"Enshrouded","2025-12-03","26670","408","73"
"Elden Ring","2025-12-03","26593","324","89"
"INAZUMA ELEVEN: Victory Road","2025-12-03","26426","7","3"
"PAYDAY 2","2025-12-03","26202","4","2"
"NBA 2K26","2025-12-03","24809","14414","333"
"Stalcraft: X","2025-12-03","24324","3915","108"
"Left 4 Dead 2","2025-12-03","23591","1495","63"
"Hunt: Showdown","2025-12-03","23458","32817","217"
"Total War Warhammer 3","2025-12-03","23268","50","8"
"ARK: Survival Evolved","2025-12-03","23104","67","9"
"7 Days to Die","2025-12-03","22786","89","14"
"Project Zomboid","2025-12-03","21850","159","45"
"Rocket League","2025-12-03","20427","46284","1502"
"Monster Hunter Wilds","2025-12-03","20030","667","46"
"Football Manager 2024","2025-12-03","19814","0","0"
"ARK Survival Ascended","2025-12-03","18806","1030","70"
"Russian Fishing 4","2025-12-03","18307","12","4"
"CS: Source","2025-12-03","17871","94","31"
"Eternal Return","2025-12-03","17712","5998","353"
"Once Human","2025-12-03","17637","3522","159"
"Factorio","2025-12-03","17583","17","6"
"Final Fantasy XIV","2025-12-03","17201","35659","3214"
"Fallout 76","2025-12-03","17047","541","28"
"Warhammer: Vermintide 2","2025-12-03","16928","570","32"
"Black Desert Online","2025-12-03","16778","128106","4753"
"eFootball™ 2026","2025-12-03","16742","41251","281"
"Warhammer 40,000: Space Marine 2","2025-12-03","16434","2315","79"
"EA SPORTS FC 25","2025-12-03","16155","1954","48"
"IdleOn - The Idle MMO","2025-12-03","15793","2","1"
"World of Tanks","2025-12-03","15708","53968","1368"
"Sid Meier's Civilization V","2025-12-03","15027","0","0"
"Goose Goose Duck","2025-12-03","14745","29","6"
"Assetto Corsa","2025-12-03","14448","57","15"
"Stellaris","2025-12-03","14182","0","0"
"NBA 2K25","2025-12-03","14112","15","3"
"Split Fiction","2025-12-03","13742","37","4"
"Party Animals","2025-12-03","13625","311","17"
"F1 25","2025-12-03","13217","53","24"
"MIR4","2025-12-03","12948","10880","1317"
"No Man's Sky","2025-12-03","12800","5","2"
"Phasmophobia","2025-12-03","12710","510","38"
"Squad","2025-12-03","12408","31936","65"
"The Finals","2025-12-03","11512","7499","192"
"Unturned","2025-12-03","11390","77","8"
"Wuthering Waves","2025-12-03","11156","1666","844"
"Schedule I ","2025-12-03","10833","27","4"
"The Planet Crafter","2025-12-03","10795","14","1"
"Throne and Liberty Global","2025-12-03","10784","199874","2477"
"Anno 117: Pax Romana","2025-12-03","10767","7","3"
"Path of Exile 2","2025-12-03","9822","7663","251"
"Arma Reforger","2025-12-03","9634","132","40"
"Bloons TD 6","2025-12-03","9340","513","10"
"Ghost Of Tsushima","2025-12-03","9309","17","1"
"Sons of The Forest","2025-12-03","9028","22","8"
"Tabletop Simulator","2025-12-03","8438","10","5"
"Diablo IV China","2025-12-03","8194","0","0"
"Borderlands 4","2025-12-03","7933","45","8"
"Raft","2025-12-03","7927","2","2"
"Monster Hunter Rise","2025-12-03","7696","25","3"
"Dying Light","2025-12-03","7638","0","0"
"Tekken 8","2025-12-03","7486","841","52"
"Sid Meier's Civilization VII","2025-12-03","7411","0","0"
"Escape the Backrooms","2025-12-03","7396","23","2"
"The Isle","2025-12-03","7332","160","33"
"Solo Leveling: ARISE OVERDRIVE","2025-12-03","7321","108","35"
"Dark Souls III","2025-12-03","7204","45","11"
"Deep Rock Galactic","2025-12-03","7107","133","7"
"Call to Arms - Gates of Hell: Ostfront","2025-12-03","7037","6","2"
"RV There Yet?","2025-12-03","7010","127","16"
"Dying Light: The Beast","2025-12-03","7001","18","4"
"Blue Protocol: Star Resonance","2025-12-03","6859","27501","537"
"The First Descendant","2025-12-03","6747","5408","122"
"Grounded","2025-12-03","6718","12","3"
"MY HERO ULTRA RUMBLE","2025-12-03","6434","1198","39"
"Counter-Strike 2","2025-12-02","1270394","96223","13995"
"Dota 2","2025-12-02","809836","39005","4752"
"PUBG","2025-12-02","600795","156024","3437"
"Apex Legends","2025-12-02","184994","83844","2983"
"Battlefield™ 6","2025-12-02","166445","74510","5118"
"Rust","2025-12-02","108165","3114","603"
"Marvel Rivals","2025-12-02","107266","67072","2248"
"Destiny 2","2025-12-02","71172","12513","226"
"EA SPORTS FC 26","2025-12-02","67178","49932","1401"
"Helldivers 2","2025-12-02","65492","2523","207"
"Call Of Duty: MWII | MWIII","2025-12-02","58255","11124","342"
"Baldur's Gate 3","2025-12-02","55572","75","17"
"Rainbow Six Siege","2025-12-02","54105","0","0"
"Team Fortress 2","2025-12-02","53132","714","81"
"Dead by Daylight","2025-12-02","48084","73816","2781"
"Don't Starve Together","2025-12-02","45110","193","15"
"Farming Simulator 25","2025-12-02","44404","42","13"
"Path of Exile","2025-12-02","36599","131903","2337"
"R.E.P.O.","2025-12-02","36075","1154","231"
"PalWorld","2025-12-02","35407","138","32"
"Street Fighter VI","2025-12-02","33083","3627","144"
"Warhammer 40,000: Darktide","2025-12-02","32677","8566","177"
"Overwatch 2","2025-12-02","32399","50256","2789"
"Europa Universalis V","2025-12-02","32192","0","0"
"INAZUMA ELEVEN: Victory Road","2025-12-02","31233","30","9"
"Enshrouded","2025-12-02","30830","653","102"
"Risk of Rain 2","2025-12-02","30348","248","81"
"Limbus Company","2025-12-02","28773","22","12"
"PAYDAY 2","2025-12-02","27849","55","4"
"Elden Ring","2025-12-02","27235","641","124"
"Total War Warhammer 3","2025-12-02","25366","28","7"
"NBA 2K26","2025-12-02","25028","15255","341"
"Rocket League","2025-12-02","23754","65268","1786"
"ARK: Survival Evolved","2025-12-02","23234","97","11"
"Left 4 Dead 2","2025-12-02","23234","1582","61"
"7 Days to Die","2025-12-02","23032","88","15"
"Hunt: Showdown","2025-12-02","22806","37457","252"
"Project Zomboid","2025-12-02","22609","217","59"
"Football Manager 2024","2025-12-02","21214","0","0"
"Monster Hunter Wilds","2025-12-02","20215","592","48"
"ARK Survival Ascended","2025-12-02","19886","1479","88"
"Factorio","2025-12-02","19210","30","8"
"Eternal Return","2025-12-02","18718","6413","414"
"Warhammer: Vermintide 2","2025-12-02","18656","805","43"
"Russian Fishing 4","2025-12-02","18441","8","6"
"Once Human","2025-12-02","18421","4274","171"
"Stalcraft: X","2025-12-02","17771","5384","93"
"CS: Source","2025-12-02","17115","82","24"
"Warhammer 40,000: Space Marine 2","2025-12-02","17008","3680","114"
"Final Fantasy XIV","2025-12-02","16936","37340","3607"
"Black Desert Online","2025-12-02","16861","148125","5144"
"eFootball™ 2026","2025-12-02","16410","53223","339"
"EA SPORTS FC 25","2025-12-02","16276","1862","63"
"IdleOn - The Idle MMO","2025-12-02","16007","10","2"
"Sid Meier's Civilization V","2025-12-02","15865","0","0"
"Phasmophobia","2025-12-02","15307","677","56"
"Assetto Corsa","2025-12-02","14694","83","24"
"Goose Goose Duck","2025-12-02","14381","36","5"
"Stellaris","2025-12-02","14352","2","1"
"Split Fiction","2025-12-02","14201","3","1"
"Party Animals","2025-12-02","14144","386","23"
"NBA 2K25","2025-12-02","14134","156","5"
"Squad","2025-12-02","13341","40975","78"
"MIR4","2025-12-02","13116","12931","1420"
"F1 25","2025-12-02","13071","106","32"
"Unturned","2025-12-02","13057","66","9"
"Anno 117: Pax Romana","2025-12-02","12804","2","2"
"The Planet Crafter","2025-12-02","12477","18","1"
"Wuthering Waves","2025-12-02","12468","2378","1058"
"The Finals","2025-12-02","12270","8765","229"
"No Man's Sky","2025-12-02","12124","42","9"
"Schedule I ","2025-12-02","11830","33","2"
"World of Tanks","2025-12-02","10650","61342","1348"
"Ghost Of Tsushima","2025-12-02","10575","9","2"
"Path of Exile 2","2025-12-02","10535","10156","321"
"Throne and Liberty Global","2025-12-02","10453","258214","2663"
"Arma Reforger","2025-12-02","10378","186","59"
"RV There Yet?","2025-12-02","10110","95","8"
"Fallout 76","2025-12-02","9498","346","33"
"Sons of The Forest","2025-12-02","9130","18","9"
"Tekken 8","2025-12-02","9011","1291","75"
"Diablo IV China","2025-12-02","8668","0","0"
